Week;Overly-Attached Girlfriend;Scumbag Steve;Rage Faces;Grumpy Cat;One Does Not Simply...;Bad Luck Brian;[10] Guy;Socially Awkward Penguin;Futurama Fry / Not Sure If;First World Problems;Success Kid;Philosoraptor;Condescending Wonka;Conspiracy Keanu;Ermahgerd;Most Interesting Man;Slowpoke;Sudden Clarity Clarence
January 2, 2011;0;0;8;0;9;0;5;48;0;2;9;47;0;0;0;31;0;0
January 9, 2011;0;0;15;0;8;0;4;57;0;1;11;45;0;0;0;28;0;0
January 16, 2011;0;5;9;0;8;0;4;49;0;1;10;43;0;0;0;30;0;0
January 23, 2011;0;21;12;0;7;0;4;42;0;1;9;47;0;0;0;30;0;0
January 30, 2011;0;87;13;0;8;0;4;42;0;2;15;58;0;0;0;29;0;0
February 6, 2011;0;85;10;0;5;0;4;42;0;2;12;49;0;0;0;26;0;0
February 13, 2011;0;41;11;0;5;0;4;59;0;2;10;46;0;0;0;23;0;0
February 20, 2011;0;34;13;0;5;0;4;52;0;2;12;45;0;0;0;19;0;0
February 27, 2011;0;32;12;0;8;0;4;54;0;1;11;47;0;0;0;23;0;0
March 6, 2011;0;41;17;0;8;0;4;46;0;2;10;42;0;0;0;16;0;0
March 13, 2011;0;26;15;0;8;0;4;42;0;1;9;38;0;0;0;17;0;0
March 20, 2011;0;20;16;0;8;0;4;44;0;5;8;46;0;0;0;37;0;0
March 27, 2011;0;18;16;0;8;0;4;46;0;8;13;40;0;0;0;45;0;0
April 3, 2011;0;17;22;0;8;0;5;45;0;8;13;42;0;0;0;33;0;0
April 10, 2011;0;23;24;0;7;0;5;52;0;7;10;37;0;0;0;28;0;0
April 17, 2011;0;18;26;0;8;0;5;54;0;9;7;46;0;0;0;56;0;0
April 24, 2011;0;16;31;0;10;0;5;56;0;9;8;43;0;0;0;63;0;0
May 1, 2011;0;16;31;0;9;0;5;49;0;8;12;35;0;0;0;83;0;0
May 8, 2011;0;13;22;0;11;0;5;45;3;7;9;40;0;0;0;54;0;0
May 15, 2011;0;15;24;0;6;0;5;41;0;8;7;39;0;0;0;72;19;0
May 22, 2011;0;15;27;0;8;0;5;44;0;7;7;38;0;0;0;71;24;0
May 29, 2011;0;15;28;0;7;0;4;41;6;7;9;37;0;0;0;44;21;0
June 5, 2011;0;13;29;0;8;0;4;39;7;8;9;34;0;0;0;41;24;0
June 12, 2011;0;15;31;0;10;0;4;39;12;9;7;39;0;0;0;63;23;0
June 19, 2011;0;14;31;0;9;0;4;35;12;14;8;37;0;0;0;80;23;0
June 26, 2011;0;15;37;0;10;0;5;42;36;30;4;36;0;0;0;86;21;0
July 3, 2011;0;14;35;0;7;0;6;37;51;33;7;36;0;0;0;59;21;0
July 10, 2011;0;17;33;0;10;0;6;38;29;33;5;40;0;0;0;51;22;0
July 17, 2011;0;16;38;0;9;0;7;42;32;31;4;40;0;0;0;62;23;0
July 24, 2011;0;16;38;0;7;0;8;44;25;28;8;41;0;0;0;76;19;0
July 31, 2011;0;22;35;0;8;0;4;46;33;35;8;44;0;0;0;51;26;0
August 7, 2011;0;20;37;0;8;0;4;47;36;35;7;47;0;0;0;49;20;0
August 14, 2011;0;18;38;0;7;0;4;52;41;31;12;52;0;0;0;53;22;0
August 21, 2011;0;27;40;0;6;0;4;56;33;36;13;51;0;0;0;73;23;0
August 28, 2011;0;24;37;0;8;0;0;56;44;40;10;52;0;0;0;90;26;0
September 4, 2011;0;22;38;0;10;0;0;68;43;42;11;57;0;0;0;69;19;0
September 11, 2011;0;23;42;0;7;0;0;68;41;43;12;56;0;0;0;64;19;0
September 18, 2011;0;20;40;0;7;0;0;72;33;45;10;55;0;0;0;47;33;0
September 25, 2011;0;29;45;0;10;0;0;79;38;45;14;64;0;0;0;55;17;0
October 2, 2011;0;23;42;0;8;0;0;66;48;42;16;62;0;0;0;54;34;0
October 9, 2011;0;27;48;0;10;0;5;68;47;50;20;62;0;0;0;54;29;0
October 16, 2011;0;30;55;0;15;0;4;74;49;48;20;69;0;0;0;70;30;0
October 23, 2011;0;48;57;0;11;0;4;79;45;47;32;69;0;0;0;100;26;0
October 30, 2011;0;30;61;0;13;0;7;100;58;51;28;74;0;0;0;66;24;0
November 6, 2011;0;30;61;0;10;0;9;96;47;74;21;81;0;0;0;48;24;0
November 13, 2011;0;30;66;0;16;0;12;94;49;70;27;86;0;6;0;53;30;0
November 20, 2011;0;29;62;0;14;0;15;86;58;70;49;85;0;44;0;68;20;0
November 27, 2011;0;36;75;0;16;0;18;90;48;71;86;95;0;100;0;52;25;17
December 4, 2011;0;32;73;0;23;0;19;97;51;86;59;99;0;94;0;51;38;0
December 11, 2011;0;41;69;0;30;0;18;85;51;92;49;80;0;72;0;60;41;0
